Continent,Country,Score_Result_Average,Count_of_Universities,gdp_2018,pop2020,area,Density
Africa,Algeria,18.1625,8,173757952824.25,43851.044,2381741.0,18.4113
Africa,Ghana,22.7,1,65556464048.1539,31072.94,238533.0,130.2668
Africa,Kenya,26.3,1,87908262519.9164,53771.296,580367.0,92.6505
Africa,Morocco,21.175,4,117921394402.361,36910.56,446550.0,82.6572
Africa,Nigeria,30.625000000000004,4,397269616080.90796,206139.589,923768.0,223.1508
Africa,South Africa,38.15,10,368288939768.322,59308.69,1221037.0,48.5724
Africa,Tanzania,16.8,1,58001200572.3965,59734.218,945087.0,63.205
Africa,Tunisia,18.683333333333334,6,39871132267.9361,11818.619,163610.0,72.2365
Africa,Uganda,35.1,1,27461440192.3549,45741.007,241550.0,189.3645
Asia,Bangladesh,16.3,1,274024958965.892,164689.383,147570.0,1116.0086
Asia,China,33.04938271604937,81,13608151864637.9,1439323.776,9706961.0,148.2775
Asia,India,26.175000000000008,56,2718732231257.57,1380004.385,3287590.0,419.7617
Asia,Indonesia,19.683333333333334,6,1042173300625.55,273523.615,1904569.0,143.6144
Asia,Iraq,21.25,2,224228010477.88898,40222.493,438317.0,91.7658
Asia,Israel,42.55,6,370587977153.58295,8655.535,20770.0,416.7325
Asia,Japan,23.475454545454546,110,4971323079771.87,126476.461,377930.0,334.6558
Asia,Jordan,24.919999999999998,5,42231295774.6479,10203.134,89342.0,114.2031
Asia,Kazakhstan,20.2,2,179339994859.38397,18776.707,2724900.0,6.8908
Asia,Kuwait,24.4,1,140645364238.411,4270.571,17818.0,239.6773
Asia,Lebanon,31.433333333333337,3,56639155555.5556,6825.445,10452.0,653.0277
Asia,Malaysia,27.800000000000004,13,358581943446.259,32365.999,330803.0,97.8407
Asia,Nepal,19.0,1,29040398982.3466,29136.808,147181.0,197.9658
Asia,Oman,22.7,1,79276723016.9051,5106.626,309500.0,16.4996
Asia,Pakistan,21.45,14,314588210501.063,220892.34,881912.0,250.4698
Asia,Philippines,31.2,2,330910343610.956,109581.078,342353.0,320.0821
Asia,Qatar,42.2,1,191362087912.088,2881.053,11586.0,248.6668
Asia,Saudi Arabia,37.728571428571435,7,786521831571.957,34813.871,2149690.0,16.1948
Asia,Singapore,77.4,2,364156657769.87,5850.342,710.0,8239.9183
Asia,Sri Lanka,27.9,2,88900770857.6351,21413.249,65610.0,326.3717
Asia,Thailand,19.68125,16,504992757704.997,69799.978,513120.0,136.0305
